Full Address,Year Built,Roof Type
"3988 12Th Ave, Sacramento, CA",1984.0,Shingle
"3820 15Th Ave, Sacramento, CA",1984.0,Shingle
"4016 Martin Luther King Jr Blvd, Sacramento, CA",1981.0,Shingle
"4024 Martin Luther King Jr Blvd, Sacramento, CA",1983.0,Shingle
"3817 16Th Ave, Sacramento, CA",1984.0,Shingle
"3922 39Th St, Sacramento, CA",1984.0,Shingle
"3968 39Th St, Sacramento, CA",1982.0,Shingle
"4004 39Th St, Sacramento, CA",1984.0,Shingle
"4017 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"4015 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"4011 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"4009 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"4007 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"4001 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"3965 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"3961 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"3957 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"3953 Martin Luther King Jr Blvd, Sacramento, CA",1982.0,Shingle
"3951 Martin Luther King Jr Blvd, Sacramento, CA",1983.0,Shingle
"3909 Martin Luther King Jr Blvd, Sacramento, CA",1983.0,Shingle
"4228 W Nichols Ave, Sacramento, CA",1990.0,Shingle
